image_id,rx,ry,rz,tx,ty,tz
0,0.529167,0.0387017,-0.0242014,-146.076,-24.2753,231.154
1,0.051895,-0.244394,3.12825,138.345,94.1024,256.656
2,-0.216464,0.0229203,-0.0110342,-149.036,-149.055,280.261
3,-0.350606,0.0202532,-0.0119523,-150.489,-165.068,361.2
4,-0.397939,-0.295519,-0.0787807,-40.2465,-115.209,278.643
5,-0.0149301,-0.276883,-0.0267745,-8.11559,-97.9149,279.666
6,-0.0319562,0.223913,-0.0239674,-187.916,-85.6373,342.6
7,-0.540504,-0.0675969,-3.03607,68.5073,113.425,256.809
8,0.0135524,0.438285,0.350496,-94.0383,-158.563,339.71
9,0.09703,-0.329219,0.0790989,12.8282,-150.035,457.198
